"","SKU","Description","Date","Quantity","Expiration.Date","Days.To.Expiry","Status"
"6",112991,"ANCHOR UHT LITE 12X1L NEW",2016-09-01,338,2017-02-24,176,"Fresh"
"7",112991,"ANCHOR UHT LITE 12X1L NEW",2016-09-01,4684,2017-03-02,182,"Fresh"
"8",112991,"ANCHOR UHT LITE 12X1L NEW",2016-09-01,220,2017-03-03,183,"Fresh"
"9",112991,"ANCHOR UHT LITE 12X1L NEW",2016-09-01,509,2017-03-08,188,"Fresh"
"28",114511,"UHT MLK ANC FBNZ 12x1LTR (NEW)",2016-09-01,14,2017-02-28,180,"Fresh"
"29",114511,"UHT MLK ANC FBNZ 12x1LTR (NEW)",2016-09-01,7.41666666666667,2017-03-01,181,"Fresh"
"30",114511,"UHT MLK ANC FBNZ 12x1LTR (NEW)",2016-09-01,1487,2017-04-02,213,"Fresh"
"33",114511,"UHT MLK ANC FBNZ 12x1LTR (NEW)",2016-09-01,12,2017-04-09,220,"Fresh"
"76",1053009,"Anchor FCMP 24x150g",2016-09-01,210,2017-10-27,421,"Fresh"
"77",1053009,"Anchor FCMP 24x150g",2016-09-01,269,2017-10-30,424,"Fresh"
"82",1053010,"ANCHOR FCMP 24 X 350G",2016-09-01,1,2017-10-20,414,"Fresh"
"83",1053010,"ANCHOR FCMP 24 X 350G",2016-09-01,299,2017-10-30,424,"Fresh"
"94",1053011,"ANCHOR FCMP 12 X700G",2016-09-01,830,2017-10-30,424,"Fresh"
"95",1053011,"ANCHOR FCMP 12 X700G",2016-09-01,568,2017-11-19,444,"Fresh"
"106",1057371,"ANCHOR FCMP 6X1.8kg (Phillipines)",2016-09-01,553,2019-04-06,947,"Fresh"
"107",1057371,"ANCHOR FCMP 6X1.8kg (Phillipines)",2016-09-01,1492,2019-07-25,1057,"Fresh"
"128",1063485,"ANMUM MATERNA PLAIN 24X180G (LEDA)",2016-09-01,851,2018-01-28,514,"Fresh"
"139",1063486,"ANMUM MAT CHOC 24x180G LEDA",2016-09-01,925,2018-01-28,514,"Fresh"
"151",1063488,"ANMUM MATERNA PLAIN 24X375G (LEDA)",2016-09-01,1,2018-01-03,489,"Fresh"
"152",1063488,"ANMUM MATERNA PLAIN 24X375G (LEDA)",2016-09-01,987,2018-01-18,504,"Fresh"
"163",1063491,"ANMUM CHOC 24X375G",2016-09-01,552,2018-01-16,502,"Fresh"
"164",1063491,"ANMUM CHOC 24X375G",2016-09-01,725,2018-02-24,541,"Fresh"
"174",1063581,"ANMUM CHOCO 80X46G",2016-09-01,556.075,2017-08-23,356,"Fresh"
"184",1063645,"ANMUM MATERNA 24X375G",2016-09-01,2,2017-12-04,459,"Fresh"
"188",1063647,"ANMUM MATERNA CHOCO 24X375G",2016-09-01,12,2017-06-13,285,"Fresh"
"192",1064002,"ANMUM VANILLA MANGO 24X180G",2016-09-01,30,2017-12-05,460,"Fresh"
"193",1064002,"ANMUM VANILLA MANGO 24X180G",2016-09-01,866,2018-01-29,515,"Fresh"
"198",1064003,"ANMUM VANILLA MANGO 24X375G",2016-09-01,462,2018-01-29,515,"Fresh"
"202",1064023,"ANMUM VANILLA MANGO 80X37.5 G",2016-09-01,48,2017-05-13,254,"Fresh"
"203",1064023,"ANMUM VANILLA MANGO 80X37.5 G",2016-09-01,583.925,2017-09-05,369,"Fresh"
"206",1064678,"ANCHOR ADULT 36X180G",2016-09-01,457,2017-09-17,381,"Fresh"
"214",1064727,"ANLENE CONCENTRATCHOC-PH 48X110ML NEW",2016-09-01,1871,2017-04-25,236,"Fresh"
"217",1064935,"ANCHOR FAMILY MILK CHOC 32X150G",2016-09-01,506,2017-10-22,416,"Fresh"
"226",1064936,"ANCHOR FAMILY MILK CHOC 12X700G",2016-09-01,1065,2018-02-06,523,"Fresh"
"243",1064975,"ANLENE GOLD REFORM 12X600G",2016-09-01,1513,2018-02-03,520,"Fresh"
"244",1064975,"ANLENE GOLD REFORM 12X600G",2016-09-01,2127,2018-02-13,530,"Fresh"
"245",1064975,"ANLENE GOLD REFORM 12X600G",2016-09-01,1192,2018-02-14,531,"Fresh"
"246",1064975,"ANLENE GOLD REFORM 12X600G",2016-09-01,1209,2018-02-15,532,"Fresh"
"247",1064975,"ANLENE GOLD REFORM 12X600G",2016-09-01,925,2018-02-16,533,"Fresh"
"248",1064975,"ANLENE GOLD REFORM 12X600G",2016-09-01,2133,2018-02-17,534,"Fresh"
"249",1064975,"ANLENE GOLD REFORM 12X600G",2016-09-01,1591.5,2018-02-18,535,"Fresh"
"283",1064984,"ANLENE GOLD NANOCAL 24X390G",2016-09-01,73,2018-01-26,512,"Fresh"
"284",1064984,"ANLENE GOLD NANOCAL 24X390G",2016-09-01,1134,2018-02-18,535,"Fresh"
"285",1064984,"ANLENE GOLD NANOCAL 24X390G",2016-09-01,808,2018-02-19,536,"Fresh"
"286",1064984,"ANLENE GOLD NANOCAL 24X390G",2016-09-01,2662,2018-02-22,539,"Fresh"
"287",1064984,"ANLENE GOLD NANOCAL 24X390G",2016-09-01,1851,2018-02-23,540,"Fresh"
"318",1064986,"ANLENE GOLD CHOCOLATE 24X385G",2016-09-01,658,2018-02-04,521,"Fresh"
"319",1064986,"ANLENE GOLD CHOCOLATE 24X385G",2016-09-01,2070,2018-02-05,522,"Fresh"
"320",1064986,"ANLENE GOLD CHOCOLATE 24X385G",2016-09-01,100,2018-02-06,523,"Fresh"
"333",1065037,"ANCHOR 6X2.5KG(PH) CAN",2016-09-01,349,2019-05-13,984,"Fresh"
"341",1065201,"ANMUM MATERNA PLAIN 12X800G",2016-09-01,539,2018-01-17,503,"Fresh"
"342",1065201,"ANMUM MATERNA PLAIN 12X800G",2016-09-01,204,2018-01-18,504,"Fresh"
"351",1065202,"ANMUM MATERNA CHOCO 12X800G",2016-09-01,530,2018-01-16,502,"Fresh"
"352",1065202,"ANMUM MATERNA CHOCO 12X800G",2016-09-01,577,2018-02-24,541,"Fresh"
"362",1065315,"ANLENE GOLD 12X990G SUP",2016-09-01,1,2018-01-27,513,"Fresh"
"363",1065315,"ANLENE GOLD 12X990G SUP",2016-09-01,96,2018-01-28,514,"Fresh"
"364",1065315,"ANLENE GOLD 12X990G SUP",2016-09-01,561,2018-02-10,527,"Fresh"
"365",1065315,"ANLENE GOLD 12X990G SUP",2016-09-01,1934,2018-02-11,528,"Fresh"
"366",1065315,"ANLENE GOLD 12X990G SUP",2016-09-01,1855,2018-02-12,529,"Fresh"
"367",1065315,"ANLENE GOLD 12X990G SUP",2016-09-01,320,2018-02-13,530,"Fresh"
"413",1065316,"ANLENE GOLD 24X180G SUP",2016-09-01,452,2018-02-11,528,"Fresh"
"414",1065316,"ANLENE GOLD 24X180G SUP",2016-09-01,901,2018-02-12,529,"Fresh"
"415",1065316,"ANLENE GOLD 24X180G SUP",2016-09-01,1998,2018-02-13,530,"Fresh"
"416",1065316,"ANLENE GOLD 24X180G SUP",2016-09-01,1092,2018-02-14,531,"Fresh"
"417",1065316,"ANLENE GOLD 24X180G SUP",2016-09-01,226,2018-02-16,533,"Fresh"
"418",1065316,"ANLENE GOLD 24X180G SUP",2016-09-01,907,2018-02-17,534,"Fresh"
