"","year","x10006","x12018","x19000","x20000","x99999"
"1",1975,0,285,312,542,2249
"2",1976,0,265,302,671,2895
"3",1977,0,369,406,903,3502
"4",1978,0,604,731,1235,3896
"5",1979,0,587,770,1216,4423
"6",1980,0,599,952,1622,5440
"7",1981,0,704,1211,1822,5647
"8",1982,4,719,1286,1962,5760
"9",1983,3,687,1241,1835,5875
"10",1984,3,807,1338,1871,5817
"11",1985,3,765,1202,1688,5429
"12",1986,4,865,1315,1842,5515
"13",1987,3,940,1395,2031,5886
"14",1988,6,1171,1636,2363,5781
"15",1989,7,1176,1659,2386,6399
"16",1990,7,1294,1780,3207,7172
"17",1991,7,1371,1952,3515,7481
"18",1992,6,1553,2142,3804,7941
"19",1993,7,2316,3022,4953,9355
"20",1994,6,2771,3523,5763,10392
"21",1995,6,2964,3753,5992,10189
"22",1996,7,2621,3340,5673,9576
"23",1997,26,2706,3410,6005,10201
"24",1998,25,3161,3864,6606,10651
"25",1999,25,3066,3782,7957,11635
"26",2000,25,3067,3983,8280,12070
"27",2001,25,3002,3843,8199,12005
"28",2002,25,3011,3854,6842,10354
"29",2003,25,3045,3877,6960,10549
"30",2004,25,3003,3901,6896,10514
"31",2005,25,3022,4049,7556,11212
"32",2006,23,3030,4049,7824,11933
"33",2007,23,3662,4838,8664,12789
"34",2008,23,3354,4530,10416,14590
"35",2009,636,3975,5118,11978,16278
"36",2010,636,3984,5149,12220,16522
"37",2011,636,4185,5356,13455,18506
"38",2012,679,4929,6099,14394,18816
"39",2013,666,4776,5947,14501,19180
"40",2014,670,6495,7643,16379,20972
