SKU,Date,Quantity,Expiration.Date
112991,2016-09-01,338,2017-02-24
112991,2016-09-01,4684,2017-03-02
112991,2016-09-01,220,2017-03-03
112991,2016-09-01,509,2017-03-08
114511,2016-09-01,14,2017-02-28
114511,2016-09-01,7.41666666666667,2017-03-01
114511,2016-09-01,1487,2017-04-02
114511,2016-09-01,12,2017-04-09
1053009,2016-09-01,210,2017-10-27
1053009,2016-09-01,269,2017-10-30
1053010,2016-09-01,1,2017-10-20
1053010,2016-09-01,299,2017-10-30
1053011,2016-09-01,830,2017-10-30
1053011,2016-09-01,568,2017-11-19
1057371,2016-09-01,553,2019-04-06
1057371,2016-09-01,1492,2019-07-25
1063485,2016-09-01,851,2018-01-28
1063486,2016-09-01,925,2018-01-28
1063488,2016-09-01,1,2018-01-03
1063488,2016-09-01,987,2018-01-18
1063491,2016-09-01,552,2018-01-16
1063491,2016-09-01,725,2018-02-24
1063581,2016-09-01,556.075,2017-08-23
1063645,2016-09-01,2,2017-12-04
1063647,2016-09-01,12,2017-06-13
1064002,2016-09-01,30,2017-12-05
1064002,2016-09-01,866,2018-01-29
1064003,2016-09-01,462,2018-01-29
1064023,2016-09-01,48,2017-05-13
1064023,2016-09-01,583.925,2017-09-05
1064678,2016-09-01,457,2017-09-17
1064727,2016-09-01,1871,2017-04-25
1064935,2016-09-01,506,2017-10-22
1064936,2016-09-01,1065,2018-02-06
1064975,2016-09-01,1513,2018-02-03
1064975,2016-09-01,2127,2018-02-13
1064975,2016-09-01,1192,2018-02-14
1064975,2016-09-01,1209,2018-02-15
1064975,2016-09-01,925,2018-02-16
1064975,2016-09-01,2133,2018-02-17
1064975,2016-09-01,1591.5,2018-02-18
1064984,2016-09-01,73,2018-01-26
1064984,2016-09-01,1134,2018-02-18
1064984,2016-09-01,808,2018-02-19
1064984,2016-09-01,2662,2018-02-22
1064984,2016-09-01,1851,2018-02-23
1064986,2016-09-01,658,2018-02-04
1064986,2016-09-01,2070,2018-02-05
1064986,2016-09-01,100,2018-02-06
1065037,2016-09-01,349,2019-05-13
1065201,2016-09-01,539,2018-01-17
1065201,2016-09-01,204,2018-01-18
1065202,2016-09-01,530,2018-01-16
1065202,2016-09-01,577,2018-02-24
1065315,2016-09-01,1,2018-01-27
1065315,2016-09-01,96,2018-01-28
1065315,2016-09-01,561,2018-02-10
1065315,2016-09-01,1934,2018-02-11
1065315,2016-09-01,1855,2018-02-12
1065315,2016-09-01,320,2018-02-13
1065316,2016-09-01,452,2018-02-11
1065316,2016-09-01,901,2018-02-12
1065316,2016-09-01,1998,2018-02-13
1065316,2016-09-01,1092,2018-02-14
1065316,2016-09-01,226,2018-02-16
1065316,2016-09-01,907,2018-02-17
1065317,2016-09-01,738,2018-02-03
1065317,2016-09-01,1083,2018-02-04
1065318,2016-09-01,342,2018-01-06
1065318,2016-09-01,211,2018-02-04
1065318,2016-09-01,875,2018-02-05
1065318,2016-09-01,1081,2018-02-06
10332315,2016-09-01,1,2017-04-20
10333064,2016-09-01,42,2017-04-06
10333759,2016-09-01,2,2017-03-13
10333759,2016-09-01,417,2017-04-02
10337661,2016-09-01,1,2018-01-05
10337666,2016-09-01,3,2017-12-21
10337667,2016-09-01,5,2017-12-20
10338963,2016-09-01,1,2018-01-01
10338964,2016-09-01,2,2018-01-01
10338965,2016-09-01,1,2018-01-01
10338966,2016-09-01,1,2018-01-17
10338967,2016-09-01,15,2018-01-02
10339070,2016-09-01,7,2017-12-05
10339071,2016-09-01,1,2017-12-05
10341116,2016-09-01,802,2018-01-19
10341116,2016-09-01,589,2018-02-01
10341116,2016-09-01,906,2018-02-02
10341311,2016-09-01,564,2017-10-20
10341311,2016-09-01,792,2017-10-30
